"name","pos","team","appFullProjectedPoints","PassAttempts","Completions","PassingYards","PassTDs","INTs","carries","rushYards","rushTDs","targets","receptions","receivingYards","receivingTDs","halfFantasyPoints","fullFantasyPoints","recProps"
"Russell Wilson","QB","PIT",16.4,33.1,20.2,233.6,1.1,0.5,4.1,16.3,0.2,0,0,0,0,15.6,15.6,""
"Caleb Williams","QB","CHI",16.3,36,22.7,241.1,1.1,1.1,8,35.8,0.1,0,0,0,0,16,16,""
"Anthony Richardson","QB","IND",16,27.4,16.9,167,0.9,0.9,7.5,39.3,0.5,0,0,0,0,15.4,15.4," -- Over PP Completions of 14.5"
"Jordan Love","QB","GB",15.9,31.2,19.7,218.7,1.7,0.8,1.2,4.6,0.2,0,0,0,0,15.6,15.6,""
"Matthew Stafford","QB","LAR",15.8,35.6,23.3,248.6,1.6,0.9,1.2,2.5,0.1,0,0,0,0,15.4,15.4," -- Under UD Fantasy Score of 18.35"
"Will Levis","QB","TEN",15.6,32.8,20.9,217,1.2,0.9,5.9,24,0.2,0,0,0,0,15.3,15.3," -- Over UD Pass Attempts of 28.5 -- Over PP Pass Attempts of 28.5 -- Over UD Completions of 17.5 -- Over PP Completions of 17.5 -- Over UD Pass Plus Rush Yards of 226.5"
"Aaron Rodgers","QB","NYJ",15.2,36.1,23.3,237.1,1.4,0.7,1.5,6.5,0.1,0,0,0,0,14.9,14.9,""
"Trevor Lawrence","QB","JAC",14.9,31.3,20.1,213.9,1.2,0.9,3.6,18.3,0.2,0,0,0,0,14.6,14.6,""
"Jameis Winston","QB","CLE",14.3,39.1,24.4,237.4,1.1,1,4.5,14.8,0.1,0,0,0,0,14,14," -- Over UD Pass Attempts of 35 -- Over PP Pass Attempts of 35 -- Over UD Completions of 21.5 -- Over PP Completions of 21.5 -- Over UD Rush Yards of 7.5 -- Over UD Pass Plus Rush Yards of 238.5 -- Over PP Pass Plus Rush Yards of 241.5"
"Cooper Rush","QB","DAL",13.6,34.2,22.3,220,1.3,0.7,0.5,0.6,0.1,0,0,0,0,13.3,13.3,""
"Derek Carr","QB","NO",13.3,31.3,19.9,212.3,1.2,0.9,1.8,4.4,0.1,0,0,0,0,12.5,12.5," -- Over PP Pass Attempts of 29"
"Bryce Young","QB","CAR",13.1,31.5,19.6,203.3,1,0.8,2.1,9.7,0.2,0,0,0,0,12.7,12.7,""
"Aidan O'Connell","QB","LV",12.8,42.6,26.9,251.8,1.2,1,0.5,1.9,0.2,0,0,0,0,14.3,14.3,""
"Drew Lock","QB","NYG",12.7,31,19.2,201,1,0.8,1.4,13.5,0.1,0,0,0,0,12.4,12.4,""
