"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"QB","Matt Ryan","IND","JAX","6900","0.5%","35%","9%","3%","6.15"
"QB","Daniel Jones","NYG","BAL","6800","3.0%","41%","13%","4%","1.43"
"QB","Marcus Mariota","ATL","SF","6800","3.0%","36%","11%","4%","1.19"
"QB","Zach Wilson","NYJ","@GB","6700","3.0%","39%","12%","4%","1.33"
"QB","Jacoby Brissett","CLE","NE","6600","0.5%","36%","10%","3%","6.52"
"QB","Kenny Pickett","PIT","TB","6500","3.0%","37%","11%","4%","1.21"
"QB","Andy Dalton","NO","CIN","6400","0.5%","26%","5%","2%","3.36"
"QB","Skylar Thompson","MIA","MIN","6300","3.0%","37%","10%","3%","1.08"
"QB","P.J. Walker","CAR","@LAR","6300","3.0%","25%","5%","1%","0.50"
"QB","Bailey Zappe","NE","@CLE","6300","0.5%","33%","8%","3%","5.37"
"RB","Nick Chubb","CLE","NE","9500","7.5%","49%","13%","19%","2.52"
"RB","Saquon Barkley","NYG","BAL","8800","12.5%","59%","18%","26%","2.09"
"RB","Christian McCaffrey","CAR","@LAR","8700","12.5%","53%","14%","19%","1.55"
"RB","Leonard Fournette","TB","@PIT","8500","12.5%","48%","11%","15%","1.22"
"RB","Dalvin Cook","MIN","@MIA","8300","3.0%","44%","9%","13%","4.36"
"RB","Alvin Kamara","NO","CIN","8100","7.5%","56%","15%","21%","2.80"
"RB","Joe Mixon","CIN","@NO","7800","12.5%","45%","9%","12%","0.97"
"RB","Rhamondre Stevenson","NE","@CLE","7500","22.5%","57%","14%","20%","0.89"
"RB","Aaron Jones","GB","NYJ","7300","12.5%","49%","10%","14%","1.12"
"RB","Jeff Wilson","SF","@ATL","7200","7.5%","38%","4%","6%","0.85"
"RB","Breece Hall","NYJ","@GB","7100","7.5%","45%","7%","10%","1.31"
"RB","Clyde Edwards-Helaire","KC","BUF","7000","3.0%","38%","5%","8%","2.56"
"RB","J.K. Dobbins","BAL","@NYG","6800","3.0%","34%","4%","6%","1.91"
"RB","James Robinson","JAX","@IND","6700","3.0%","32%","4%","5%","1.68"
"RB","Ken Walker","SEA","ARI","6500","22.5%","43%","6%","9%","0.39"
"RB","Raheem Mostert","MIA","MIN","6500","7.5%","38%","5%","7%","0.91"
"RB","Travis Etienne","JAX","@IND","6400","3.0%","30%","2%","3%","1.06"
"RB","Eno Benjamin","ARI","@SEA","6300","27.5%","42%","6%","8%","0.28"
"RB","Najee Harris","PIT","TB","6200","7.5%","35%","4%","5%","0.73"
"RB","Kareem Hunt","CLE","NE","6000","3.0%","34%","3%","5%","1.59"
"RB","A.J. Dillon","GB","NYJ","5900","7.5%","37%","4%","6%","0.75"
"RB","Michael Carter","NYJ","@GB","5900","0.5%","20%","1%","1%","2.38"
"RB","Tyler Allgeier","ATL","SF","5800","3.0%","28%","2%","2%","0.83"
"RB","Darrell Henderson","LAR","CAR","5700","27.5%","48%","7%","11%","0.39"
"RB","Devin Singletary","BUF","@KC","5700","12.5%","39%","4%","5%","0.42"
"RB","Tevin Coleman","SF","@ATL","5700","0.5%","12%","0%","0%","0.60"
"RB","Isiah Pacheco","KC","BUF","5700","0.5%","7%","0%","0%","0.13"
"RB","Deon Jackson","IND","JAX","5600","3.0%","39%","4%","5%","1.81"
"RB","Samaje Perine","CIN","@NO","5600","0.5%","8%","0%","0%","0.21"
"RB","Matt Breida","NYG","BAL","5600","0.5%","2%","0%","0%","0.00"
"RB","Jerick McKinnon","KC","BUF","5500","0.5%","15%","0%","1%","1.05"
"RB","Caleb Huntley","ATL","SF","5500","0.5%","10%","0%","0%","0.37"
"RB","Phillip Lindsay","IND","JAX","5400","0.5%","26%","1%","2%","4.23"
"RB","Jaylen Warren","PIT","TB","5400","0.5%","13%","0%","0%","0.63"
"RB","Chase Edmonds","MIA","MIN","5300","0.5%","13%","0%","0%","0.61"
"RB","Alexander Mattison","MIN","@MIA","5300","0.5%","13%","0%","0%","0.61"
"RB","DeeJay Dallas","SEA","ARI","5300","0.5%","10%","0%","0%","0.28"
"RB","Avery Williams","ATL","SF","5300","0.5%","5%","0%","0%","0.05"
"RB","Rachaad White","TB","@PIT","5200","0.5%","19%","1%","1%","1.60"
"RB","Kenyan Drake","BAL","@NYG","5200","0.5%","10%","0%","0%","0.29"
"RB","Mark Ingram","NO","CIN","5100","0.5%","7%","0%","0%","0.07"
"RB","Gary Brightwell","NYG","BAL","5100","0.5%","1%","0%","0%","0.00"
"RB","James Cook","BUF","@KC","5000","0.5%","3%","0%","0%","0.01"
"RB","Zack Moss","BUF","@KC","4900","0.5%","5%","0%","0%","0.03"
"RB","Mike Davis","BAL","@NYG","4900","0.5%","2%","0%","0%","0.00"
"RB","Tyrion Davis-Price","SF","@ATL","4800","0.5%","2%","0%","0%","0.00"
"RB","D'Onta Foreman","CAR","@LAR","4800","0.5%","2%","0%","0%","0.00"
"RB","Pierre Strong Jr.","NE","@CLE","4700","0.5%","10%","0%","0%","0.19"
"RB","JaMycal Hasty","JAX","@IND","4700","0.5%","3%","0%","0%","0.01"
"RB","Chuba Hubbard","CAR","@LAR","4700","0.5%","2%","0%","0%","0.00"
"RB","Kyle Juszczyk","SF","@ATL","4600","0.5%","6%","0%","0%","0.04"
"RB","Kevin Harris","NE","@CLE","4600","0.5%","3%","0%","0%","0.00"
"RB","Keaontay Ingram","ARI","@SEA","4500","0.5%","20%","0%","1%","1.41"
"RB","Malcolm Brown","LAR","CAR","4500","0.5%","13%","0%","0%","0.40"
"RB","Patrick Ricard","BAL","@NYG","4500","0.5%","5%","0%","0%","0.02"
"RB","C.J. Ham","MIN","@MIA","4500","0.5%","3%","0%","0%","0.01"
"RB","Reggie Gilliam","BUF","@KC","4500","0.5%","3%","0%","0%","0.00"
"RB","Derek Watt","PIT","TB","4500","0.5%","2%","0%","0%","0.00"
"RB","Ronnie Rivers","LAR","CAR","4500","0.5%","2%","0%","0%","0.00"
"TE","Travis Kelce","KC","BUF","8300","12.5%","46%","18%","15%","1.21"
"TE","Mark Andrews","BAL","@NYG","7800","17.5%","49%","18%","15%","0.86"
"TE","Taysom Hill","NO","CIN","7500","3.0%","18%","1%","1%","0.32"
"TE","Tyler Higbee","LAR","CAR","6200","12.5%","40%","9%","8%","0.60"
"TE","Zach Ertz","ARI","@SEA","6000","12.5%","51%","17%","14%","1.14"
"TE","David Njoku","CLE","NE","5900","3.0%","37%","7%","6%","2.06"
"TE","George Kittle","SF","@ATL","5700","12.5%","45%","12%","10%","0.78"
"TE","Kyle Pitts","ATL","SF","5500","7.5%","28%","4%","3%","0.47"
"TE","Evan Engram","JAX","@IND","5200","3.0%","29%","4%","3%","1.10"
"TE","Dawson Knox","BUF","@KC","5100","7.5%","29%","4%","3%","0.47"
"TE","Will Dissly","SEA","ARI","5000","0.5%","28%","4%","3%","6.19"
"TE","Cade Otton","TB","@PIT","5000","0.5%","9%","0%","0%","0.45"
"TE","Hayden Hurst","CIN","@NO","4900","3.0%","32%","5%","4%","1.37"
"TE","Irv Smith Jr.","MIN","@MIA","4900","3.0%","31%","4%","4%","1.25"
"TE","Robert Tonyan","GB","NYJ","4900","3.0%","30%","4%","4%","1.21"
"TE","Tyler Conklin","NYJ","@GB","4900","0.5%","29%","4%","3%","6.46"
"TE","Noah Fant","SEA","ARI","4900","0.5%","24%","2%","2%","4.15"
"TE","Cameron Brate","TB","@PIT","4800","0.5%","24%","3%","2%","4.31"
"TE","Mo Alie-Cox","IND","JAX","4800","0.5%","24%","3%","2%","4.31"
"TE","Mike Gesicki","MIA","MIN","4800","0.5%","20%","2%","1%","2.84"
"TE","Hunter Henry","NE","@CLE","4700","3.0%","27%","3%","3%","0.92"
"TE","Daniel Bellinger","NYG","BAL","4700","0.5%","29%","4%","3%","6.65"
"TE","Adam Trautman","NO","CIN","4700","0.5%","15%","1%","1%","1.25"
"TE","Zach Gentry","PIT","TB","4600","3.0%","26%","3%","2%","0.78"
"TE","Isaiah Likely","BAL","@NYG","4600","0.5%","18%","1%","1%","1.85"
"TE","Juwan Johnson","NO","CIN","4600","0.5%","16%","1%","1%","1.61"
"TE","Jody Fortson","KC","BUF","4600","0.5%","5%","0%","0%","0.11"
"TE","Ian Thomas","CAR","@LAR","4500","0.5%","18%","1%","1%","1.76"
"TE","Harrison Bryant","CLE","NE","4500","0.5%","16%","1%","1%","1.38"
"TE","Durham Smythe","MIA","MIN","4500","0.5%","11%","0%","0%","0.60"
"TE","Anthony Firkser","ATL","SF","4500","0.5%","9%","0%","0%","0.31"
"TE","Kylen Granson","IND","JAX","4400","0.5%","23%","2%","2%","3.22"
"TE","Jonnu Smith","NE","@CLE","4400","0.5%","14%","1%","0%","0.90"
"TE","Tommy Tremble","CAR","@LAR","4400","0.5%","12%","0%","0%","0.64"
"TE","Colby Parkinson","SEA","ARI","4400","0.5%","11%","0%","0%","0.56"
"TE","Parker Hesse","ATL","SF","4400","0.5%","10%","0%","0%","0.44"
"TE","C.J. Uzomah","NYJ","@GB","4400","0.5%","10%","0%","0%","0.41"
"TE","Connor Heyward","PIT","TB","4300","0.5%","15%","1%","1%","1.06"
"TE","Johnny Mundt","MIN","@MIA","4300","0.5%","15%","1%","1%","1.06"
"TE","Jelani Woods","IND","JAX","4300","0.5%","15%","1%","1%","1.01"
"TE","Trey McBride","ARI","@SEA","4300","0.5%","13%","0%","0%","0.80"
"TE","Josiah Deguara","GB","NYJ","4300","0.5%","10%","0%","0%","0.41"
"TE","Chris Manhertz","JAX","@IND","4300","0.5%","7%","0%","0%","0.15"
"TE","Mitchell Wilcox","CIN","@NO","4300","0.5%","6%","0%","0%","0.10"
"TE","Dan Arnold","JAX","@IND","4200","0.5%","11%","0%","0%","0.44"
"TE","Kendall Blanton","LAR","CAR","4200","0.5%","10%","0%","0%","0.38"
"TE","Chris Myarick","NYG","BAL","4200","0.5%","7%","0%","0%","0.18"
"TE","Josh Oliver","BAL","@NYG","4200","0.5%","7%","0%","0%","0.15"
"TE","Noah Gray","KC","BUF","4100","0.5%","12%","0%","0%","0.56"
"TE","Tanner Hudson","NYG","BAL","4100","0.5%","11%","0%","0%","0.49"
"TE","Stephen Sullivan","CAR","@LAR","4100","0.5%","8%","0%","0%","0.18"
"WR","Cooper Kupp","LAR","CAR","9400","22.5%","66%","28%","33%","1.45"
"WR","Justin Jefferson","MIN","@MIA","9200","7.5%","55%","17%","19%","2.59"
"WR","Stefon Diggs","BUF","@KC","8900","22.5%","56%","18%","20%","0.90"
"WR","Marquise Brown","ARI","@SEA","8200","7.5%","47%","11%","13%","1.73"
"WR","Ja'Marr Chase","CIN","@NO","8100","17.5%","48%","12%","14%","0.79"
"WR","Tyreek Hill","MIA","MIN","8000","7.5%","42%","8%","10%","1.30"
"WR","Mike Evans","TB","@PIT","7700","12.5%","49%","13%","15%","1.23"
"WR","Deebo Samuel","SF","@ATL","7600","17.5%","50%","12%","14%","0.77"
"WR","Tyler Lockett","SEA","ARI","7500","12.5%","43%","8%","10%","0.76"
"WR","DK Metcalf","SEA","ARI","7400","12.5%","46%","11%","13%","1.01"
"WR","Jaylen Waddle","MIA","MIN","7300","3.0%","38%","7%","8%","2.69"
"WR","Tee Higgins","CIN","@NO","7200","3.0%","31%","4%","5%","1.57"
"WR","Amari Cooper","CLE","NE","7100","7.5%","36%","6%","6%","0.86"
"WR","Christian Kirk","JAX","@IND","7000","7.5%","41%","8%","9%","1.18"
"WR","Gabe Davis","BUF","@KC","6900","12.5%","43%","9%","10%","0.78"
"WR","Chris Godwin","TB","@PIT","6800","17.5%","42%","8%","9%","0.51"
"WR","Michael Pittman Jr.","IND","JAX","6700","7.5%","41%","7%","8%","1.06"
"WR","Jakobi Meyers","NE","@CLE","6600","3.0%","32%","4%","5%","1.53"
"WR","JuJu Smith-Schuster","KC","BUF","6400","7.5%","30%","4%","4%","0.55"
"WR","Diontae Johnson","PIT","TB","6300","7.5%","38%","6%","7%","0.90"
"WR","Allen Lazard","GB","NYJ","6200","7.5%","41%","8%","9%","1.19"
"WR","Devin Duvernay","BAL","@NYG","6200","3.0%","34%","5%","6%","1.96"
"WR","Drake London","ATL","SF","6100","7.5%","38%","6%","7%","0.90"
"WR","Isaiah McKenzie","BUF","@KC","6000","3.0%","32%","4%","5%","1.62"
"WR","Tyler Boyd","CIN","@NO","6000","3.0%","32%","4%","5%","1.51"
"WR","Adam Thielen","MIN","@MIA","5900","7.5%","35%","5%","5%","0.73"
"WR","Alec Pierce","IND","JAX","5900","3.0%","28%","3%","3%","1.04"
"WR","Brandon Aiyuk","SF","@ATL","5800","7.5%","35%","5%","6%","0.79"
"WR","Marquez Valdes-Scantling","KC","BUF","5800","7.5%","33%","4%","5%","0.62"
"WR","George Pickens","PIT","TB","5800","3.0%","34%","4%","5%","1.56"
"WR","Corey Davis","NYJ","@GB","5800","3.0%","31%","4%","4%","1.35"
"WR","D.J. Moore","CAR","@LAR","5700","3.0%","36%","5%","6%","1.96"
"WR","Garrett Wilson","NYJ","@GB","5700","3.0%","34%","4%","5%","1.69"
"WR","Randall Cobb","GB","NYJ","5700","3.0%","30%","3%","4%","1.19"
"WR","Rondale Moore","ARI","@SEA","5600","12.5%","32%","4%","4%","0.33"
"WR","Zay Jones","JAX","@IND","5600","7.5%","31%","3%","4%","0.51"
"WR","Darius Slayton","NYG","BAL","5600","3.0%","20%","1%","1%","0.47"
"WR","Marquez Callaway","NO","CIN","5600","0.5%","23%","2%","2%","3.80"
"WR","Russell Gage","TB","@PIT","5600","0.5%","16%","1%","1%","1.50"
"WR","Mecole Hardman","KC","BUF","5600","0.5%","15%","1%","1%","1.33"
"WR","Romeo Doubs","GB","NYJ","5500","12.5%","40%","7%","8%","0.64"
"WR","Chase Claypool","PIT","TB","5500","3.0%","24%","2%","2%","0.69"
"WR","DeVante Parker","NE","@CLE","5500","3.0%","22%","2%","2%","0.59"
"WR","Donovan Peoples-Jones","CLE","NE","5500","3.0%","18%","1%","1%","0.32"
"WR","Ben Skowronek","LAR","CAR","5500","0.5%","18%","1%","1%","2.14"
"WR","Allen Robinson","LAR","CAR","5400","0.5%","28%","3%","3%","6.24"
"WR","Khalil Shakir","BUF","@KC","5400","0.5%","19%","1%","1%","2.48"
"WR","Demarcus Robinson","BAL","@NYG","5400","0.5%","15%","1%","1%","1.23"
"WR","Richie James","NYG","BAL","5300","3.0%","15%","0%","1%","0.19"
"WR","K.J. Osborn","MIN","@MIA","5300","0.5%","25%","2%","2%","4.49"
"WR","Olamide Zaccheaus","ATL","SF","5300","0.5%","25%","2%","2%","4.64"
"WR","Robbie Anderson","CAR","@LAR","5300","0.5%","22%","1%","2%","3.14"
"WR","Tre'Quan Smith","NO","CIN","5300","0.5%","19%","1%","1%","2.18"
"WR","A.J. Green","ARI","@SEA","5300","0.5%","19%","1%","1%","2.10"
"WR","Elijah Moore","NYJ","@GB","5200","3.0%","30%","3%","4%","1.27"
"WR","Shi Smith","CAR","@LAR","5200","0.5%","11%","0%","0%","0.43"
"WR","Jamal Agnew","JAX","@IND","5100","0.5%","21%","1%","1%","2.77"
"WR","Jauan Jennings","SF","@ATL","5100","0.5%","16%","1%","1%","1.35"
"WR","KhaDarel Hodge","ATL","SF","5100","0.5%","14%","0%","0%","0.85"
"WR","Parris Campbell","IND","JAX","5100","0.5%","10%","0%","0%","0.40"
"WR","Marcus Johnson","NYG","BAL","5100","0.5%","9%","0%","0%","0.26"
"WR","Terrace Marshall","CAR","@LAR","5100","0.5%","8%","0%","0%","0.20"
"WR","David Sills","NYG","BAL","5100","0.5%","7%","0%","0%","0.12"
"WR","Tylan Wallace","BAL","@NYG","5100","0.5%","4%","0%","0%","0.03"
"WR","Kendrick Bourne","NE","@CLE","5000","0.5%","20%","1%","1%","2.37"
"WR","Cedrick Wilson","MIA","MIN","5000","0.5%","12%","0%","0%","0.61"
"WR","James Proche","BAL","@NYG","5000","0.5%","11%","0%","0%","0.46"
"WR","Skyy Moore","KC","BUF","5000","0.5%","8%","0%","0%","0.16"
"WR","Wan'Dale Robinson","NYG","BAL","4900","0.5%","25%","2%","2%","3.96"
"WR","Scott Miller","TB","@PIT","4900","0.5%","12%","0%","0%","0.48"
"WR","Keith Kirkwood","NO","CIN","4900","0.5%","9%","0%","0%","0.26"
"WR","Trent Sherfield","MIA","MIN","4900","0.5%","7%","0%","0%","0.14"
"WR","Braxton Berrios","NYJ","@GB","4900","0.5%","7%","0%","0%","0.10"
"WR","Tutu Atwell","LAR","CAR","4900","0.5%","5%","0%","0%","0.04"
"WR","David Bell","CLE","NE","4900","0.5%","3%","0%","0%","0.02"
"WR","Tyquan Thornton","NE","@CLE","4800","0.5%","17%","1%","1%","1.30"
"WR","Greg Dortch","ARI","@SEA","4800","0.5%","10%","0%","0%","0.31"
"WR","Justin Watson","KC","BUF","4800","0.5%","4%","0%","0%","0.03"
"WR","Bryan Edwards","ATL","SF","4800","0.5%","3%","0%","0%","0.01"
"WR","Jalen Reagor","MIN","@MIA","4800","0.5%","2%","0%","0%","0.00"
"WR","Mike Strachan","IND","JAX","4700","0.5%","5%","0%","0%","0.04"
"WR","Miles Boykin","PIT","TB","4700","0.5%","3%","0%","0%","0.01"
"WR","D'Wayne Eskridge","SEA","ARI","4600","0.5%","7%","0%","0%","0.09"
"WR","Ray-Ray McCloud","SF","@ATL","4600","0.5%","6%","0%","0%","0.06"
"WR","Penny Hart","SEA","ARI","4600","0.5%","4%","0%","0%","0.03"
"WR","Mike Thomas","CIN","@NO","4600","0.5%","3%","0%","0%","0.01"
"WR","Anthony Schwartz","CLE","NE","4600","0.5%","2%","0%","0%","0.01"
"WR","Juwann Winfree","GB","NYJ","4500","0.5%","6%","0%","0%","0.06"
"WR","Tim Jones","JAX","@IND","4500","0.5%","5%","0%","0%","0.04"
"WR","Rashid Shaheed","NO","CIN","4500","0.5%","4%","0%","0%","0.03"
"WR","Kevin White","NO","CIN","4500","0.5%","2%","0%","0%","0.00"
"WR","Jeff Smith","NYJ","@GB","4500","0.5%","2%","0%","0%","0.00"
