"Pos","Player","Tm","Opp","DK Sal $","Val","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"RB","Kevin Harris","NE","@CLE","4000","-6.10","0.5%","1%","0%","0%","0.00"
"RB","Tyrion Davis-Price","SF","@ATL","4000","-6.34","0.5%","1%","0%","0%","0.00"
"RB","Ronnie Rivers","LAR","CAR","4000","-6.59","0.5%","1%","0%","0%","0.00"
"TE","Travis Kelce","KC","BUF","7800","3.66","7.5%","48%","9%","18%","2.42"
"TE","Mark Andrews","BAL","@NYG","7000","4.82","17.5%","52%","10%","20%","1.12"
"TE","George Kittle","SF","@ATL","5100","3.03","3.0%","38%","4%","9%","2.97"
"TE","Taysom Hill","NO","CIN","5100","0.29","3.0%","19%","0%","0%","0.12"
"TE","Zach Ertz","ARI","@SEA","4900","5.24","12.5%","49%","9%","17%","1.40"
"TE","Tyler Higbee","LAR","CAR","4600","4.63","17.5%","45%","5%","11%","0.61"
"TE","Kyle Pitts","ATL","SF","4200","0.73","7.5%","25%","1%","3%","0.39"
"TE","David Njoku","CLE","NE","4000","4.08","7.5%","40%","4%","8%","1.07"
"TE","Robert Tonyan","GB","NYJ","3600","1.27","3.0%","26%","2%","3%","1.08"
"TE","Evan Engram","JAX","@IND","3500","2.01","3.0%","29%","2%","4%","1.27"
"TE","Dawson Knox","BUF","@KC","3400","1.43","7.5%","27%","2%","4%","0.47"
"TE","Tyler Conklin","NYJ","@GB","3400","1.54","0.5%","27%","1%","3%","6.09"
"TE","Hayden Hurst","CIN","@NO","3300","2.33","7.5%","30%","2%","4%","0.56"
"TE","Cameron Brate","TB","@PIT","3300","0.23","0.5%","21%","1%","2%","3.50"
"TE","Irv Smith Jr.","MIN","@MIA","3200","1.82","3.0%","28%","2%","4%","1.25"
"TE","Daniel Bellinger","NYG","BAL","3200","0.87","0.5%","24%","1%","3%","5.28"
"TE","Will Dissly","SEA","ARI","3100","1.40","3.0%","26%","1%","3%","1.01"
"TE","Hunter Henry","NE","@CLE","3100","0.79","3.0%","23%","1%","2%","0.77"
"TE","Mike Gesicki","MIA","MIN","3100","-0.52","0.5%","17%","1%","1%","2.11"
"TE","Noah Fant","SEA","ARI","3000","0.88","0.5%","23%","1%","2%","3.94"
"TE","Mo Alie-Cox","IND","JAX","3000","0.29","0.5%","21%","1%","2%","3.47"
"TE","Adam Trautman","NO","CIN","3000","-2.17","0.5%","10%","0%","0%","0.52"
"TE","Cade Otton","TB","@PIT","2900","-2.69","0.5%","8%","0%","0%","0.26"
"TE","Noah Gray","KC","BUF","2900","-2.96","0.5%","7%","0%","0%","0.19"
"TE","Isaiah Likely","BAL","@NYG","2800","-0.81","0.5%","15%","0%","1%","1.34"
"TE","Juwan Johnson","NO","CIN","2800","-1.15","0.5%","14%","0%","1%","1.05"
"TE","Harrison Bryant","CLE","NE","2700","-1.16","0.5%","13%","0%","0%","0.95"
"TE","Zach Gentry","PIT","TB","2600","1.47","7.5%","24%","1%","2%","0.30"
"TE","Kylen Granson","IND","JAX","2600","0.51","0.5%","20%","1%","1%","2.74"
"TE","Ian Thomas","CAR","@LAR","2600","-0.57","0.5%","15%","0%","1%","1.42"
"TE","Jonnu Smith","NE","@CLE","2600","-1.41","0.5%","12%","0%","0%","0.65"
"TE","Dan Arnold","JAX","@IND","2600","-2.86","0.5%","7%","0%","0%","0.14"
"TE","Johnny Mundt","MIN","@MIA","2500","-1.16","0.5%","12%","0%","0%","0.77"
"TE","Connor Heyward","PIT","TB","2500","-1.24","0.5%","12%","0%","0%","0.69"
"TE","Trey McBride","ARI","@SEA","2500","-1.62","0.5%","10%","0%","0%","0.46"
"TE","Tommy Tremble","CAR","@LAR","2500","-1.76","0.5%","10%","0%","0%","0.43"
"TE","Jelani Woods","IND","JAX","2500","-1.77","0.5%","10%","0%","0%","0.43"
"TE","Durham Smythe","MIA","MIN","2500","-1.80","0.5%","10%","0%","0%","0.38"
"TE","Colby Parkinson","SEA","ARI","2500","-2.12","0.5%","9%","0%","0%","0.28"
"TE","Parker Hesse","ATL","SF","2500","-2.37","0.5%","8%","0%","0%","0.23"
"TE","C.J. Uzomah","NYJ","@GB","2500","-2.42","0.5%","8%","0%","0%","0.20"
"TE","Josiah Deguara","GB","NYJ","2500","-2.47","0.5%","8%","0%","0%","0.20"
"TE","Tanner Hudson","NYG","BAL","2500","-2.57","0.5%","7%","0%","0%","0.17"
"TE","Anthony Firkser","ATL","SF","2500","-2.79","0.5%","7%","0%","0%","0.14"
"TE","Kendall Blanton","LAR","CAR","2500","-2.82","0.5%","6%","0%","0%","0.13"
"TE","Tyler Davis","GB","NYJ","2500","-3.10","0.5%","6%","0%","0%","0.09"
"TE","Chris Myarick","NYG","BAL","2500","-3.39","0.5%","5%","0%","0%","0.06"
"TE","Stephen Sullivan","CAR","@LAR","2500","-3.53","0.5%","4%","0%","0%","0.05"
"TE","Chris Manhertz","JAX","@IND","2500","-3.55","0.5%","4%","0%","0%","0.05"
"TE","Josh Oliver","BAL","@NYG","2500","-3.70","0.5%","4%","0%","0%","0.04"
"TE","Jody Fortson","KC","BUF","2500","-3.71","0.5%","4%","0%","0%","0.04"
"TE","Mitchell Wilcox","CIN","@NO","2500","-4.05","0.5%","3%","0%","0%","0.02"
"WR","Cooper Kupp","LAR","CAR","9700","6.47","17.5%","63%","31%","35%","2.00"
"WR","Justin Jefferson","MIN","@MIA","8900","4.12","7.5%","53%","19%","22%","2.92"
"WR","Stefon Diggs","BUF","@KC","8400","5.20","22.5%","55%","21%","23%","1.04"
"WR","Ja'Marr Chase","CIN","@NO","7700","3.01","12.5%","45%","13%","15%","1.17"
"WR","Deebo Samuel","SF","@ATL","7600","2.52","12.5%","42%","11%","12%","0.98"
"WR","Tyreek Hill","MIA","MIN","7500","2.36","7.5%","41%","10%","11%","1.51"
"WR","Marquise Brown","ARI","@SEA","7200","3.87","7.5%","47%","13%","15%","1.97"
"WR","Mike Evans","TB","@PIT","7000","3.44","7.5%","44%","12%","14%","1.89"
"WR","Michael Pittman Jr.","IND","JAX","6900","1.14","3.0%","34%","7%","8%","2.55"
"WR","DK Metcalf","SEA","ARI","6800","3.04","17.5%","42%","11%","12%","0.70"
"WR","Gabe Davis","BUF","@KC","6500","1.80","7.5%","36%","7%","8%","1.13"
"WR","Tee Higgins","CIN","@NO","6300","-0.27","3.0%","27%","4%","5%","1.55"
"WR","Jaylen Waddle","MIA","MIN","6200","2.08","3.0%","36%","7%","8%","2.76"
"WR","Chris Godwin","TB","@PIT","6100","3.39","17.5%","41%","8%","10%","0.55"
"WR","Allen Lazard","GB","NYJ","6000","1.30","3.0%","33%","6%","7%","2.42"
"WR","Amari Cooper","CLE","NE","5900","2.29","7.5%","36%","6%","7%","0.96"
"WR","Adam Thielen","MIN","@MIA","5900","0.34","3.0%","29%","4%","5%","1.66"
"WR","Christian Kirk","JAX","@IND","5800","2.90","12.5%","38%","8%","9%","0.70"
"WR","Diontae Johnson","PIT","TB","5700","2.39","7.5%","36%","6%","7%","0.96"
"WR","Tyler Lockett","SEA","ARI","5600","5.34","32.5%","47%","11%","12%","0.38"
"WR","Drake London","ATL","SF","5400","2.75","12.5%","36%","6%","7%","0.56"
"WR","Brandon Aiyuk","SF","@ATL","5400","0.73","3.0%","29%","4%","5%","1.63"
"WR","Jakobi Meyers","NE","@CLE","5300","2.02","3.0%","33%","5%","6%","1.87"
"WR","JuJu Smith-Schuster","KC","BUF","5200","1.14","7.5%","29%","4%","4%","0.58"
"WR","D.J. Moore","CAR","@LAR","5100","1.92","3.0%","32%","5%","5%","1.79"
"WR","Tyler Boyd","CIN","@NO","5100","1.20","3.0%","29%","4%","4%","1.48"
"WR","Isaiah McKenzie","BUF","@KC","5000","1.57","3.0%","30%","4%","5%","1.63"
"WR","Garrett Wilson","NYJ","@GB","5000","1.48","3.0%","30%","4%","5%","1.56"
"WR","Elijah Moore","NYJ","@GB","4900","-0.21","3.0%","24%","3%","3%","1.00"
"WR","Allen Robinson","LAR","CAR","4900","-0.67","0.5%","22%","2%","2%","4.92"
"WR","Romeo Doubs","GB","NYJ","4800","2.79","12.5%","35%","6%","7%","0.55"
"WR","Corey Davis","NYJ","@GB","4800","0.64","3.0%","26%","3%","4%","1.20"
"WR","Devin Duvernay","BAL","@NYG","4700","2.33","3.0%","33%","5%","6%","1.93"
"WR","George Pickens","PIT","TB","4600","2.38","3.0%","31%","4%","5%","1.53"
"WR","Marquez Valdes-Scantling","KC","BUF","4500","2.13","12.5%","31%","4%","4%","0.36"
"WR","Chase Claypool","PIT","TB","4500","-0.67","3.0%","20%","2%","2%","0.62"
"WR","Randall Cobb","GB","NYJ","4400","1.41","3.0%","28%","3%","3%","1.17"
"WR","DeVante Parker","NE","@CLE","4400","-1.42","3.0%","17%","1%","1%","0.40"
"WR","Russell Gage","TB","@PIT","4400","-2.26","0.5%","14%","1%","1%","1.46"
"WR","Alec Pierce","IND","JAX","4300","1.60","7.5%","28%","3%","3%","0.45"
"WR","K.J. Osborn","MIN","@MIA","4300","-0.22","0.5%","21%","2%","2%","4.07"
"WR","Rondale Moore","ARI","@SEA","4200","2.91","17.5%","33%","4%","5%","0.27"
"WR","Zay Jones","JAX","@IND","4200","2.99","7.5%","33%","4%","5%","0.62"
"WR","Richie James","NYG","BAL","4200","-2.47","3.0%","12%","0%","0%","0.17"
"WR","Robbie Anderson","CAR","@LAR","4100","-0.64","0.5%","19%","1%","1%","2.83"
"WR","Ben Skowronek","LAR","CAR","4100","-1.20","0.5%","17%","1%","1%","2.05"
"WR","A.J. Green","ARI","@SEA","4100","-1.41","0.5%","16%","1%","1%","1.85"
"WR","Olamide Zaccheaus","ATL","SF","4000","0.19","0.5%","22%","2%","2%","4.18"
"WR","Mecole Hardman","KC","BUF","4000","-1.60","0.5%","15%","1%","1%","1.48"
"WR","Greg Dortch","ARI","@SEA","4000","-3.80","0.5%","7%","0%","0%","0.23"
"WR","Donovan Peoples-Jones","CLE","NE","3900","-0.97","3.0%","17%","1%","1%","0.33"
"WR","Marquez Callaway","NO","CIN","3900","0.48","0.5%","22%","2%","2%","4.02"
"WR","Darius Slayton","NYG","BAL","3800","-0.03","3.0%","20%","1%","2%","0.51"
"WR","Scott Miller","TB","@PIT","3800","-2.96","0.5%","9%","0%","0%","0.37"
"WR","Khalil Shakir","BUF","@KC","3700","-0.45","0.5%","18%","1%","1%","2.39"
"WR","Tre'Quan Smith","NO","CIN","3700","-0.58","0.5%","17%","1%","1%","2.01"
"WR","Wan'Dale Robinson","NYG","BAL","3600","1.20","0.5%","23%","2%","2%","4.00"
"WR","Jauan Jennings","SF","@ATL","3600","-1.09","0.5%","15%","1%","1%","1.28"
"WR","Shi Smith","CAR","@LAR","3600","-2.58","0.5%","9%","0%","0%","0.39"
"WR","Braxton Berrios","NYJ","@GB","3600","-3.98","0.5%","5%","0%","0%","0.07"
"WR","Skyy Moore","KC","BUF","3500","-3.61","0.5%","6%","0%","0%","0.11"
"WR","KhaDarel Hodge","ATL","SF","3400","-1.41","0.5%","13%","0%","0%","0.79"
"WR","Parris Campbell","IND","JAX","3400","-1.99","0.5%","10%","0%","0%","0.51"
"WR","Cedrick Wilson","MIA","MIN","3400","-2.43","0.5%","9%","0%","0%","0.32"
"WR","Terrace Marshall","CAR","@LAR","3400","-3.01","0.5%","7%","0%","0%","0.17"
"WR","David Sills","NYG","BAL","3400","-3.54","0.5%","6%","0%","0%","0.10"
"WR","D'Wayne Eskridge","SEA","ARI","3300","-3.81","0.5%","4%","0%","0%","0.05"
"WR","Jalen Reagor","MIN","@MIA","3300","-5.99","0.5%","1%","0%","0%","0.00"
"WR","Jamal Agnew","JAX","@IND","3200","0.93","0.5%","21%","1%","1%","2.87"
"WR","Demarcus Robinson","BAL","@NYG","3200","-0.35","0.5%","16%","1%","1%","1.34"
"WR","Kendrick Bourne","NE","@CLE","3100","0.59","0.5%","19%","1%","1%","2.27"
"WR","David Bell","CLE","NE","3100","-4.40","0.5%","3%","0%","0%","0.01"
"WR","Tyquan Thornton","NE","@CLE","3000","-0.01","0.5%","16%","1%","1%","1.42"
"WR","James Proche","BAL","@NYG","3000","-1.59","0.5%","10%","0%","0%","0.38"
"WR","Marcus Johnson","NYG","BAL","3000","-2.02","0.5%","9%","0%","0%","0.24"
"WR","Keith Kirkwood","NO","CIN","3000","-2.25","0.5%","8%","0%","0%","0.19"
"WR","Trent Sherfield","MIA","MIN","3000","-2.79","0.5%","6%","0%","0%","0.10"
"WR","Ray-Ray McCloud","SF","@ATL","3000","-3.52","0.5%","4%","0%","0%","0.04"
"WR","Juwann Winfree","GB","NYJ","3000","-3.54","0.5%","4%","0%","0%","0.04"
"WR","Tutu Atwell","LAR","CAR","3000","-3.86","0.5%","3%","0%","0%","0.02"
"WR","Tylan Wallace","BAL","@NYG","3000","-3.97","0.5%","3%","0%","0%","0.02"
"WR","Mike Strachan","IND","JAX","3000","-3.99","0.5%","3%","0%","0%","0.02"
"WR","Justin Watson","KC","BUF","3000","-4.00","0.5%","3%","0%","0%","0.02"
"WR","Penny Hart","SEA","ARI","3000","-4.18","0.5%","3%","0%","0%","0.01"
"WR","Bryan Edwards","ATL","SF","3000","-4.71","0.5%","2%","0%","0%","0.01"
"WR","Miles Boykin","PIT","TB","3000","-4.76","0.5%","2%","0%","0%","0.00"
"WR","Mike Thomas","CIN","@NO","3000","-4.81","0.5%","2%","0%","0%","0.00"
"WR","Anthony Schwartz","CLE","NE","3000","-5.09","0.5%","1%","0%","0%","0.00"
"WR","Jeff Smith","NYJ","@GB","3000","-5.33","0.5%","1%","0%","0%","0.00"
"WR","Tim Jones","JAX","@IND","3000","-3.80","0.5%","4%","0%","0%","0.03"
"WR","Rashid Shaheed","NO","CIN","3000","-4.30","0.5%","3%","0%","0%","0.01"
"WR","Kevin White","NO","CIN","3000","-5.27","0.5%","1%","0%","0%","0.00"
