"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfRBProjection","astroFullRBProjection"
"Aaron Jones","MIN",14.4,14.8,73,0.5,3.1,26.1,0.2,3.7,1.2,4.9,15.7,17.2
"Kareem Hunt","KC",14.4,17.9,70.1,0.8,2,16.3,0.2,3.5,0.7,4.2,15.6,16.6
"David Montgomery","DET",14.4,14,64.6,0.7,2,20.2,0.2,3.3,0.9,4.2,14.9,15.9
"Jonathan Taylor","IND",14.3,16.3,69.6,0.5,3.1,24.1,0.2,3.5,1.1,4.6,15.1,16.7
"Tyrone Tracy","NYG",14.2,19.2,80.9,0.5,2.2,14.4,0.2,4.1,0.6,4.7,14.8,15.9
"Brian Robinson","WAS",14.2,15.6,77.1,0.8,1.3,10.4,0.1,3.9,0.5,4.4,14.8,15.5
"Josh Jacobs","GB",13.9,19.5,81.5,0.5,2.3,13.9,0.2,4,0.6,4.6,14.9,16
"De'Von Achane","MIA",12.9,7.8,48.1,0.5,4.1,38.4,0.2,2.4,1.7,4.1,14.9,17
"Rhamondre Stevenson","NE",12.9,15.2,67,0.7,2,9.8,0.1,3.4,0.5,3.9,13.5,14.5
"Alexander Mattison","LV",11.8,12.5,48.8,0.5,2.3,22.4,0.2,2.5,1,3.5,12.5,13.6
"Nick Chubb","CLE",11.5,12.4,55.6,0.8,1.3,9,0.1,2.8,0.5,3.3,12.5,13.2
"Tank Bigsby","JAC",11,15.3,70.5,0.6,0.9,6,0.1,3.5,0.3,3.8,12.3,12.8
"Rico Dowdle","DAL",10.6,11.8,50.9,0.5,2.5,18.6,0.2,2.6,0.8,3.4,12.4,13.6
"Javonte Williams","DEN",9.9,10.6,30.6,0.3,3.6,27.4,0.2,1.6,1.2,2.8,10.6,12.4
"Bucky Irving","TB",9.8,11.1,44.4,0.3,2.3,20.2,0.2,2.2,0.9,3.1,10.6,11.8
"Zach Charbonnet","SEA",8.8,6.4,26.1,0.3,2.7,22.2,0.2,1.3,1,2.3,9.2,10.5
"Raheem Mostert","MIA",8.6,8.6,38.9,0.5,1.2,11.8,0.1,1.9,0.6,2.5,9.3,9.9
"Travis Etienne","JAC",8.4,7.5,28.7,0.2,3.9,20.3,0.1,1.4,1,2.4,8.7,10.6
"Rachaad White","TB",8.3,7,27.1,0.1,3.2,28.8,0.2,1.4,1.3,2.7,9,10.6
"Austin Ekeler","WAS",8.2,5.2,23.9,0.2,2.4,26.7,0.2,1.2,1.2,2.4,8.7,9.9
"Tyler Allgeier","ATL",7.8,10.9,45.3,0.3,1.2,9.4,0.1,2.3,0.5,2.8,8.5,9.1
"Miles Sanders","CAR",7.6,5.9,22,0.3,2.7,18.3,0.2,1.1,0.9,2,8.4,9.7
"Devin Singletary","NYG",7.2,4.6,20.8,0.4,2.1,15,0.1,1.1,0.8,1.9,7.6,8.7
"Ray Davis","BUF",7,8.7,35.7,0.3,1.2,8.9,0.1,1.8,0.4,2.2,7.5,8.1
"Trayveon Williams","CIN",6.9,5.1,22.4,0.3,1.8,13.3,0.2,1.1,0.6,1.7,7.5,8.4
"Roschon Johnson","CHI",6.4,4.3,17.2,0.5,1.1,11.4,0.1,0.9,0.6,1.5,7,7.6
"Braelon Allen","NYJ",6.3,8.1,31.8,0.4,0.7,5,0.1,1.6,0.2,1.8,7,7.4
"Kimani Vidal","LAC",5.7,5.3,21.3,0.3,0.9,13.6,0.2,1.1,0.6,1.7,6.9,7.4
"Antonio Gibson","NE",5.3,5.8,26.5,0.1,1.3,13.4,0.1,1.3,0.6,1.9,5.8,6.5
"Jaleel McLaughlin","DEN",5.1,3.5,13.6,0.2,1.9,10,0.2,0.7,0.4,1.1,5.7,6.7
"Justice Hill","BAL",4.9,3.8,16,0.1,1.5,14,0.2,0.8,0.7,1.5,5.6,6.3
"Zamir White","LV",4.9,6.2,25.5,0.3,0.8,4.2,0.1,1.3,0.2,1.5,5.8,6.2
"Julius Chestnut","TEN",4.5,4,19.3,0.2,1.2,9.4,0.1,1,0.5,1.5,5.3,5.9
"Ezekiel Elliott","DAL",4.5,4.8,17.1,0.3,0.9,5,0.1,0.9,0.2,1.1,5.1,5.5
"Ty Chandler","MIN",4.1,5.1,22.2,0.2,0.7,3.7,0.1,1.1,0.2,1.3,4.7,5.1
"Samaje Perine","KC",4,1.6,8.4,0.2,1.3,12.3,0.1,0.4,0.6,1,4.5,5.2
"Dare Ogunbowale","HOU",3.9,2.4,7.1,0.1,2.2,12.4,0.1,0.4,0.6,1,4.3,5.4
"Emanuel Wilson","GB",3.8,4.4,22.2,0.2,0.5,2.7,0.1,1.1,0.1,1.2,4.5,4.8
"Emari Demercado","ARI",3.5,2.4,12.6,0.2,1.1,6.6,0.1,0.6,0.3,0.9,4.3,4.8
"D'Onta Foreman","CLE",3.5,6.2,23.3,0.1,0.4,2.6,0.1,1.2,0.1,1.3,4,4.2
"Blake Corum","LAR",3.4,5.1,18.9,0.2,0.3,2.4,0.1,0.9,0.1,1,4.1,4.2
"Sean Tucker",,3.1,,,,,,,,,,,
"Joshua Kelley",,3.1,,,,,,,,,,,
"Trey Sermon","IND",2.5,4.3,14.2,0.1,0.6,2.2,0.1,0.8,0.2,1,3.1,3.4
"Kenneth Gainwell","PHI",2.4,1.6,7.5,0.1,0.7,6.4,0.1,0.4,0.3,0.7,2.9,3.3
"Ameer Abdullah",,2,,,,,,,,,,,
"Carson Steele",,1.9,,,,,,,,,,,
"Ty Johnson",,1.9,,,,,,,,,,,
"Trey Benson",,1.8,,,,,,,,,,,
"CJ Ham",,1.6,,,,,,,,,,,
"Pierre Strong Jr",,1.6,,,,,,,,,,,
"Dalvin Cook",,1.6,,,,,,,,,,,
"JaMycal Hasty",,1.5,,,,,,,,,,,
"Alec Ingold",,1.3,,,,,,,,,,,
"Hassan Haskins",,0.9,,,,,,,,,,,
"D'Ernest Johnson",,0.8,,,,,,,,,,,
"no second RB","NO",0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Michael Burton",,0.7,,,,,,,,,,,
"Chris Brooks",,0.6,,,,,,,,,,,
"Jeremy McNichols",,0.5,,,,,,,,,,,
