"name","team","appHalfProjectedPoints"
"Kalif Raymond","DET",6.2
"Mike Gesicki","CIN",6.2
"AJ Barner","SEA",6.2
"Devaughn Vele","DEN",6
"Tre Tucker","LV",6
"Gabe Davis","JAC",5.9
"John Metchie","HOU",5.8
"Jalen Nailor","MIN",5.8
"Trey Palmer","TB",5.8
"Will Dissly","LAC",5.8
"Kimani Vidal","LAC",5.7
"Tyler Boyd","TEN",5.7
"T.J. Hockenson","MIN",5.7
"Tim Patrick","DET",5.6
"DJ Turner","LV",5.5
"Andrei Iosivas","CIN",5.5
"Colby Parkinson","LAR",5.5
"Kayshon Boutte","NE",5.4
"KaVontae Turpin","DAL",5.4
"Antonio Gibson","NE",5.3
"Sterling Shepard","TB",5.3
"Isaiah Likely","BAL",5.3
"Noah Gray","KC",5.2
"Jaleel McLaughlin","DEN",5.1
"Brenton Strange","JAC",5.1
"Nick Westbrook-Ikhine","TEN",5
"Justice Hill","BAL",4.9
"Zamir White","LV",4.9
"Mike Williams","NYJ",4.9
"LilJordan Humphrey","DEN",4.9
"Mo Alie-Cox","IND",4.8
"Jermaine Burton","CIN",4.7
"Grant Calcaterra","PHI",4.6
"Julius Chestnut","TEN",4.5
"Ezekiel Elliott","DAL",4.5
"Mason Tipton","NO",4.5
"Greg Dortch","ARI",4.5
"Chigoziem Okonkwo","TEN",4.5
"Parker Washington","JAC",4.3
"Lucas Krull","DEN",4.3
"Theo Johnson","NYG",4.3
"Robert Woods","HOU",4.2
"Justin Watson","KC",4.2
"Ty Chandler","MIN",4.1
"Olamide Zaccheaus","WAS",4.1
"Samaje Perine","KC",4
"Ja'Tavion Sanders","CAR",4
"Tommy Tremble","CAR",4
"Josh Whyle","TEN",4
"Dare Ogunbowale","HOU",3.9
"Jordan Akins","CLE",3.9
"Emanuel Wilson","GB",3.8
"Erick All","CIN",3.8
"Hayden Hurst","LAC",3.7
"Cedrick Wilson","NO",3.6
"Emari Demercado","ARI",3.5
"D'Onta Foreman","CLE",3.5
"Dawson Knox","BUF",3.5
"Blake Corum","LAR",3.4
"Jonathan Mingo","CAR",3.4
"Jake Bobo","SEA",3.3
"Sean Tucker",,3.1
"Joshua Kelley",,3.1
"Adam Trautman","DEN",3.1
"Jahan Dotson","PHI",3
"Johnny Mundt","MIN",3
"Brock Wright","DET",3
"Austin Hooper","NE",2.9
"Elijah Higgins","ARI",2.8
"Trey Sermon","IND",2.5
"Cade Stover","HOU",2.5
"Pharaoh Brown","SEA",2.5
"Kenneth Gainwell","PHI",2.4
"Gerald Everett","CHI",2.3
"Luke Schoonmaker","DAL",2.3
"Ameer Abdullah",,2
"Malik Washington","MIA",2
"Tyquan Thornton","NE",2
"Daniel Bellinger","NYG",2
"Carson Steele",,1.9
"Ty Johnson",,1.9
"Andrew Ogletree","IND",1.9
"Trey Benson",,1.8
"Harrison Bryant","LV",1.8
"Jack Stoll","PHI",1.8
"Hunter Long","LAR",1.8
"CJ Ham",,1.6
"Pierre Strong Jr",,1.6
"Dalvin Cook",,1.6
"JaMycal Hasty",,1.5
"Charlie Woerner","ATL",1.5
"Jeremy Ruckert","NYJ",1.4
"Ben Sinnott","WAS",1.4
"Alec Ingold",,1.3
"Tanner Conner","MIA",1
"Hassan Haskins",,0.9
"D'Ernest Johnson",,0.8
"Michael Burton",,0.7
"Chris Brooks",,0.6
"Jeremy McNichols",,0.5
"","SF",-0.2
"no second RB","NO",-0.2
"","PIT",-0.6
